,,,,,,,,,
,,ACTION, TASK / ITEM,FREQUENCY,NOTE,IMPACT,DOC,SCRIPT,EXT
,FALSE,🚨," Be careful when adding ""Converted Leads"" to account default goals",Once,💬,HIGH,,,🔗
, 2 - ATTRIBUTION,,,,,,,,
,FALSE,Check:," Attribution model isn't Last-click, unless there's a good reason for it to be (new account or recent installed conversion tracking)",Once,💬,HIGH,,,
,,,Benchmark Your Situation,,,,,,
,FALSE,Review:, Attribution - Picking the Right Model,Quarterly,💬,HIGH,📑,,
,FALSE,Check:, Path Length - how many touches occur before your customers convert?,Quarterly,,HIGH,,,
,FALSE,Check:, Top Conversion Paths - visualise your most common paths to conversion,Quarterly,,HIGH,,,
,FALSE,Check:, Analytics attribution model comparison report,Quarterly,,HIGH,,,
,FALSE,Check:, Each Google Ads conversion action's attribution model is updated,Quarterly,,HIGH,,,
,FALSE,Apply:, The most appropriate attribution model (you will review this during your Optimisation routine),Quarterly,💬,HIGH,📑,,
, 3 - PLANNING,,,,,,,,
,FALSE,💡, Do you want ROI or volume? Pick a side,Ongoing,💬,HIGH,,,
,FALSE,Review:, Appropriate naming convention is in place,Once,,LOW,,,🔗
,FALSE,Review:, The 'Account Structure Dogma',Once,💬,HIGH,📑,,
,FALSE,Review:, Build Accounts For Better Results (visualised frameworks for account structures),Ongoing,💬,HIGH,📑,,
,,,Find Your Keywords,,,,,,
,FALSE,Apply:, Do 'proper' keyword research (without paying for tools),Once,💬,HIGH,,,▶️
,FALSE,Review:, Site search data in Analytics for seed and longtail keyword ideas,Once,,MID,,,
,FALSE,Check:, Shared negative keyword lists have been created,Once,,HIGH,📑,,
,FALSE,Review:, Search console data for additional keyword opportunities,Once,💬,HIGH,,,
,FALSE,Check:, Verify the keyword selection and projections make sense against your business metrics,Once,💬,MID,📑,,
,,,Bidding Strategy,,,,,,
,FALSE,Review:, Bid Strategy Foundation,Once,💬,HIGH,📑,,
,FALSE,Check:, Your ideal starting bids,Once,💬,MID,,,
,FALSE,Check:, Manual versus automated bidding (do you have enough data),Once,💬,HIGH,,,
,,,Budget for Success,,,,,,
,FALSE,Review:,How to Approach Budget & KPI,,💬,HIGH,📑,,
,FALSE,Check:, Verify the ultimate goal - the one thing the ads need to achieve?,Once,💬,HIGH,,,
,FALSE,Check:,The targets for the account - KPI agreed and realistic expectations are set,Once,,HIGH,,,
,FALSE,Check:, Agree the monthly account budget (and any flexibility to overspend),Once,,HIGH,,,
,FALSE,Check:, Agreed budget structure and campaign allocation (see Optimisation for ongoing),Once,,HIGH,,,
, 4 - BUILDING,,,,,,,,
,FALSE,💡, Keyword Match Type Methodology PDF,Ongoing,💬,MID,📑,,
,FALSE,💡, Are SKAGs (Single Keyword Ad Groups) still viable?,Ongoing,💬,HIGH,📑,,
,FALSE,💡," Instead of thinking SKAG and SPAG, see 'Account Structure Questions and Answers'",Ongoing,💬,HIGH,,,
,FALSE,💡, How to work with international accounts,Ongoing,💬,MID,,,
,FALSE,💡, What to expect with a new account/campaign,Ongoing,💬,HIGH,,,
,,,Search Campaign Setup,,,,,,
,FALSE,Apply:, Create a campaign without a goal's guidance,Once,💬,MID,,,
,FALSE,Check:, Your campaign type (the vast majority of accounts will start with a search campaign),Once,,HIGH,,,
,FALSE,Check:, Ensure the right conversions are selected,Once,💬,HIGH,,,
,FALSE,Check:," Most campaigns will want to select ""Website visits"" as the 'result you want to get from the campaign'",Once,,HIGH,,,
,FALSE,Apply:, Choose your Campaign name - you can use the Naming tab for guidance,Once,,LOW,,,
,FALSE,Review:, Bidding Strategy Cheat Sheet,Once,💬,HIGH,📑,,
,FALSE,Apply:, Bidding strategy and appropriate target or bid has been set,Once,,HIGH,,,
,FALSE,Check:, Campaigns only uses one campaign type - never search and display together,Once,,HIGH,,,
,FALSE,Check:, Search Partners are typically turned off for new campaigns,Once,💬,MID,,,
,FALSE,Check:," Target location(s) is correct (country, cities, radii etc)",Once,💬,HIGH,,,
,FALSE,Check:," Location options are set to ""Presence: People in or regularly in your targeted locations""",Once,💬,MID,,,
,FALSE,Apply:, Exclude countries/cities that should never see your ads,Once,💬,MID,📑,,
,FALSE,Check:, Languages are correctly added,Once,,HIGH,,,
,FALSE,Optional:, Audience segments are not required at this stage and can be skipped (see notes),Once,💬,LOW,,,
,FALSE,Critical:, Broad match keyword campaign setting to Off,Once,💬,HIGH,,,
,FALSE,Check:, Automatically created assets to Off,Once,,MID,,,
,FALSE,Optional:, Ad rotation is set to 'do not optimise',Once,💬,MID,,,
,FALSE,Optional:, Brand exclusions,Once,💬,HIGH,,,
,FALSE,Optional:, Set a specific start and end date,Once,,MID,,,
,FALSE,Apply:, Create ad schedule,Once,💬,MID,,,
,FALSE,Optional:," Ad Group creation -  Test the automated ""Keyword and asset generation"" for ideas otherwise follow the below steps",Once,,HIGH,,,
,FALSE,Apply:, Average daily spend set as the budget ,Once,💬,HIGH,,,
,FALSE,Check:," If you're using shared budgets, is there a good reason?",Ongoing,💬,MID,,,
,FALSE,Review:, What happens after you launch your new campaign?,Once,💬,HIGH,▶️,,
,,,Ad Extensions,,,,,,
,FALSE,Apply:, At least 4 relevant Sitelinks,Once,,MID,,,🔗
,FALSE,Apply:," At least 4, but preferably 6 Callout extensions",Once,💬,MID,📑,,🔗
,FALSE,Apply:, 1 call extension (set at the account level),Once,💬,MID,,,
,FALSE,Apply:,At least 2 structured snippet extensions,Once,💬,LOW,,,🔗
,FALSE,Apply:, Price extensions where possible (even work when the 'price' is 0 too),Once,💬,HIGH,,,
,FALSE,Apply:, Promotion extension when appropriate,Once,💬,MID,,,
,FALSE,Apply:, App extension when appropriate,Once,,MID,,,
,FALSE,Apply:, Location extension if you want to foot traffic (and added trust),Once,💬,MID,,,
,FALSE,Optional:, Lead form extension,Once,💬,LOW,,,
,,,Ad Group,,,,,,
,FALSE,💡, 3 Simple ad group structure rules,Ongoing,💬,HIGH,,,
,FALSE,Apply:,At least 1 Responsive search ad (RSA) using notes from 'Clarity' and the 'RSA Template',Once,💬,HIGH,📑,,▶️
,FALSE,Check:, Spellcheck your Ad Copy and extensions,Once,💬,MID,,,
,FALSE,Apply:, Exact match keywords,Once,💬,HIGH,,,
,FALSE,Optional:, Add phrase versions of your keyword (if your exacts are low volume),Once,💬,HIGH,,,
,FALSE,Optional:, Add broad versions of your keyword (if this is an expansion or exploration ad group),Once,💬,HIGH,,,
,FALSE,Check:," If this is a new account, are you testing with exact match first?",Once,💬,HIGH,,,
,FALSE,Apply:,Negative keywords,Once,💬,HIGH,,,
,,,Dynamic Search Ads,,,,,,
,FALSE,Check:, Will DSA work for your website?,Once,💬,HIGH,,,
,FALSE,Apply:, An ad group per sub-category of your product or service,Once,,HIGH,,,
,FALSE,Optional:, Create a DSA campaign per brand/type/category,Once,💬,MID,,,
,FALSE,Apply:," 2 ads that are very different and label them, use them as your A and B template across DSA ad groups",Once,💬,HIGH,,,
,FALSE,Apply:, Low value website urls as exclusions,Once,💬,MID,,,
,FALSE,Apply:, All account exact keywords as negatives,Once,💬,HIGH,,,
,FALSE,Apply:, Bidding Strategy Foundation,Once,💬,HIGH,📑,,
,FALSE,Optional:, Create a dedicated DSA + RLSA campaign,Once,💬,HIGH,,,
,FALSE,Apply:, Exclude your brand name in DSA campaigns/ad groups,Once,💬,MID,,,
,,,PMax - Prerequisites,,,,,,
,FALSE,💡, Performance Max is enitrely optional for Lead Gen accounts,Once,💬,HIGH,,,
,FALSE,🚨, Lead Gen - at least 30 conversions per month,Once,💬,HIGH,,,
,FALSE,Apply:, To kick start you can try ‘remarketing’ via audience signals,Ongoing,💬,HIGH,,,
,FALSE,🚨," Ecommerce - at least 50 conversions month - go all products, don’t split",Once,💬,HIGH,,,
,FALSE,Check:,"Feed optimisation is your 80/20, don’t avoid or neglect",Ongoing,,HIGH,📑,,
,,,Performance Max,,,,,,
,FALSE,💡, Performance Max takes time - how much can you afford to spend,Once,💬,HIGH,,,
,FALSE,Check:, Current best practices for PMax vs DSA campaigns,Once,💬,HIGH,,,
,FALSE,Apply:, A new campaign with goal guidance for your Macro (primary) conversion,Once,💬,MID,,,
,FALSE,Check:, The correct Conversion goal is selected,Once,💬,HIGH,,,
,FALSE,Apply:, Appropriate naming convention is in place,Once,,LOW,,,
,FALSE,Apply:, Appropriate budget applied (see Performance Max takes time),Once,💬,HIGH,,,
,FALSE,Apply:, Best approach to bidding strategy ,Once,💬,HIGH,,,
,FALSE,Check:, The correct country and language are selected,Once,💬,HIGH,,,
,FALSE,Check:, URL expansion in asset group,Once,💬,HIGH,,,
,FALSE,💡, Asset Group creation,Once,💬,HIGH,,,
,FALSE,Check:, Create your ads and sanity check the previews make sense,Once,💬,HIGH,📑,,
,FALSE,Apply:, Audience Signal - Custom segment,Once,💬,HIGH,,,
,FALSE,Apply:, Audience Signal - Your data,Once,💬,HIGH,,,
,FALSE,Apply:, Audience Signal - Interests & detailed demographics,Once,💬,MID,,,
,FALSE,Apply:, Ad extensions appropriate to the target URL(s),Once,,MID,,,
,FALSE,Optional:,Add own Brand terms as negatives,Once,💬,MID,,,
,,, Performance Max - Lead Gen Specific,,,,,,
,FALSE,Apply:, Set 1 Campaign per service category (even if it’s just 1 asset group),Once,💬,MID,,,🔗
,FALSE,Optional:," Expand and split it further, if you have other goals or needs to set per campaign",Once,💬,HIGH,,,
,FALSE,Optional:, Set up separate campaign if you have assets that could be used for prospecting,Ongoing,💬,MID,,,
,FALSE,Optional:, You can set specific prospecting campaigns if you desire ‘new’ customers,Ongoing,💬,MID,,,
,,,Performance Max - Ecommerce Specific,,,,,,
,FALSE,💡,"Naked Shopping - No assets, just the feed",Once,💬,MID,,,
,FALSE,Apply:, Set 1 Campaign per top-level category,Once,💬,HIGH,,,🔗
,FALSE,Apply:, Asset Groups for sub-categories,Ongoing,💬,HIGH,,,
,FALSE,Optional:, Single category strategy,Once,💬,HIGH,,,🔗
,FALSE,Apply:, Split Ecommerce strategy,Ongoing,💬,HIGH,,,🔗
,FALSE,Apply:, Price and prospecting structure,Ongoing,💬,HIGH,,,🔗
,FALSE,Apply:, 'On Sale' structure for discounted and not discounted products,Ongoing,💬,MID,,,🔗
,FALSE,Optional:, Separate campaign for new customer acquisition,Once,💬,MID,,,
,FALSE,Optional:,Create a dedicated remarketing campaign,Ongoing,💬,MID,,,
,FALSE,,Performance Max Audience Signals,,,,,,
,FALSE,Apply:, Specific targeting with 1-2 audiences,Once,💬,MID,,,🔗
,FALSE,Apply:,For newer accounts use competitors and service/product type keywords,Ongoing,💬,MID,,,🔗
,FALSE,Optional:, Running with no audiences,Once,💬,MID,,,🔗
,FALSE,Review:, Steer automation with your audiences before PMax takes over,Ongoing,,MID,,,
,FALSE,,Performance Max Budget & Bidding,,,,,,
,,💡," Advisory - Lead Gen, minimum account spend $2k per month",Once,💬,HIGH,,,
,FALSE,Apply:, Avoid taking budget from existing campaigns that are performing well,Ongoing,,MID,,,🔗
,FALSE,Apply:, Maximise conversions vs target CPA (see note),Ongoing,💬,HIGH,,,
,FALSE,💡," Advisory - Ecommerce, set a budget similar to your shopping campaigns",Once,💬,HIGH,,,🔗
,FALSE,Optional:, Allocate 80-90% of your budget to PMax and 10-20% to Dynamic Remarketing,Once,💬,MID,,,
,FALSE,Apply:, New accounts can start with Maximise Conversion Value,Once,💬,HIGH,,,🔗
,FALSE,Apply:, Use tROAS when migrating Standard Shopping in an existing account,Once,💬,HIGH,,,
,FALSE,Optional:, New customer acquisition bidding strategies,Once,💬,MID,,,
,FALSE,,Performance Max - Setup Final Checks,,,,,,
,FALSE,💡,"Expect a few weeks of chop. If you are lucky, 1 or 2 weeks, usually 4 to 6 weeks",Once,,HIGH,,,
,FALSE,Check:, B2B advertisers should avoid PMax,Ongoing,💬,MID,,,
,FALSE,Check:, Location options: Target people in or regularly in your targeted locations,Once,💬,MID,,,
,FALSE,Check:," URL Expansion: If you leave ""On"", make sure to add exclusions",Once,💬,MID,,,
,FALSE,Check:, No big changes for new campaigns (keep bidding and budget tweaks to a min),Ongoing,,HIGH,,,
,FALSE,Check:," For Lead Gen with less than 30 conversions per month, start CPA 10% higher",Ongoing,,MID,,,
,FALSE,Check:," For Ecommerce with less that 50 conversions per month, start ROAS 10% lower",Ongoing,,MID,,,
,FALSE,Check:, Allow at least 2 weeks and >30 conversions before raising bids,Ongoing,,MID,,,
,FALSE,💡," Assets: If you are running Naked Shopping, you can ignore the options below:",,,HIGH,,,
,FALSE,Apply:, Up to 5 headlines and long headlines,Once,,HIGH,,,
,FALSE,Apply:, Up to 5 descriptions and logos,Once,,MID,,,
,FALSE,Apply:, Up to 5 videos,Once,,MID,,,
,FALSE,Apply:, Up to 20 images,Once,,HIGH,,,
,FALSE,Apply:, Tailored Extensions (just like you would with Ad Groups),Once,,MID,,,
,,,Account,,,,,,
,FALSE,Apply:, Negative keyword list(s),Once,💬,HIGH,📑,,
,FALSE,Check:, Branded keywords are negatives against all non-brand campaigns,Once,,HIGH,,,
,FALSE,Check:, The total budgets make sense,Once,,HIGH,,,
,FALSE,Check:, Final URLs are correct - run the link checker script to be safe,Once,,HIGH,,🛠️,
,FALSE,Check:, Auto-applied ad suggestions are turned off,Once,💬,HIGH,,,
,FALSE,Check:, Auto-applied recommendations,Once,💬,HIGH,,,🔗
,FALSE,Check:, Auto-apply assets (hidden),Once,💬,HIGH,,,
,FALSE,Check:, Conversion actions are present and correct (these were setup in section 1),Once,,HIGH,,,
,,,Audiences,,,,,,
,FALSE,Review:, List of available audiences to observe (or target),Once,💬,MID,📑,,
,FALSE,Check:, You have remarketing audiences for behaviour metrics and micro conversions (MOFU and BOFU),Once,💬,HIGH,,,
,FALSE,Apply:,In-market audiences as Observation on campaigns,Once,💬,MID,,,
,FALSE,Optional:, TOFU Affinity audiences are only used sparingly and as observations,Once,💬,LOW,,,
,FALSE,Apply:, MOFU In-market audiences as observations (far more specific than Affinity),Once,💬,MID,,,
,FALSE,Check:, Converters are excluded from any remarketing campaigns,Once,💬,MID,,,
, 5 - OPTIMISATION,,,,,,,,
,,, Strategic Decisions,,,,,,
,FALSE,💡, Avoid Under & Over Optimisation,Ongoing,💬,HIGH,📑,,
,FALSE,💡, Looking at today? Be careful,Ongoing,💬,HIGH,,,
,FALSE,Check:, No major changes made recently,Weekly,💬,HIGH,,,
,FALSE,Review:, Trend and spend (key metrics and results from previous period/year),Weekly,💬,HIGH,,,🔗
,FALSE,Check:," Anomaly detected - review tracking first, is there a problem?",Daily,,HIGH,,,
,FALSE,Check:, Correct any deviation from monthly target spend (use bid and budget projections),Weekly,,HIGH,,,
,FALSE,Check:, Performance Max impact on existing campaigns,Weekly,💬,HIGH,,,
,FALSE,💡, Is this a new account/campaign?,Daily,💬,HIGH,,,
,,,Account Structure,,,,,,
,FALSE,💡, Remember the golden rules,Ongoing,💬,MID,,,
,FALSE,Review:, When to consider splitting campaigns or ad groups,Bi-Weekly,💬,HIGH,📑,,
,FALSE,Review:, How to handle keyword match types and campaign structure,Bi-Weekly,💬,HIGH,📑,,
,,,Search Optimisation Routine,,,,,,
,FALSE,Watch:, Example weekly optimisation routine for Search campaigns,Weekly,,HIGH,▶️,,
,,,Week 1,,,,,,
,FALSE,💡, Assumptions,Ongoing,💬,HIGH,,,
,FALSE,Check:, The data-gathering phase,Once,💬,HIGH,,,
,FALSE,Review:, Week 1 activities and observations,Once,💬,HIGH,,,
,FALSE,Check:, Ad spend issues,Once,💬,HIGH,,,
,FALSE,Check:, Wonky performance metrics,Once,💬,HIGH,,,
,FALSE,Check:, Auction insights oddities,Once,💬,MID,,,
,FALSE,Review:,Search term report overloaded,Once,💬,HIGH,,,
,,, Budget & KPI,,,,,,
,FALSE,Review:, Budget Optimisation - Game Plan,Weekly,💬,HIGH,📑,,
,FALSE,Review:, Budget limited campaigns (and the 5 steps to follow),Weekly,💬,HIGH,,,
,FALSE,Review:, When to increase campaign budgets,Weekly,💬,HIGH,,,▶️
,FALSE,Apply:, For an account you might not check daily,Automate,💬,HIGH,,,
,FALSE,Review:, Campaign budgets are accurate and realistic,Monthly,,HIGH,,,
,FALSE,Tool:, Enable automated budget monitoring and overspend protection,Daily,💬,HIGH,,🛠️,
,FALSE,Review:, Any deviation from monthly target spend and correct where necessary,Daily,,HIGH,,,
,,,Keyword & Query,,,,,,
,FALSE,Check:,Brand terms are not triggering outside of your brand campaigns,Monthly,💬,HIGH,,,
,FALSE,Review:,Keyword Decision Matrix,Weekly,💬,HIGH,📑,,
,FALSE,Review:,Priority campaign keyword performance,Weekly,,HIGH,,,
,FALSE,Review:, At what point do you add broad match keywords,Bi-weekly,💬,HIGH,,,▶️
,FALSE,Review:, Secondary campaign keyword performance,Bi-weekly,,MID,,,
,FALSE,Optional:, Create labels for keywords based on the decision matrix buckets (for easier reporting),Ongoing,,LOW,,,
,FALSE,Optional:, Review those keyword labels in pre-defined reports,Monthly,,MID,,,
,FALSE,Review:, Remove duplicate keywords,Monthly,💬,MID,,🛠️,
,FALSE,Review:, Query cannibalisation and keyword misrouting,Bi-weekly,💬,MID,,🛠️,
,FALSE,Review:, Search Term Report Rules,Weekly,💬,HIGH,📑,,
,FALSE,Check:, 5 simple rules for working with search queries,Weekly,💬,HIGH,,,
,FALSE,Apply:, Add new keywords with sufficient volume,Weekly,,HIGH,,,
,FALSE,Apply:, Negative keywords (use the rules for guidance),Weekly,,HIGH,,,
,FALSE,Review:, Close-variant performance,Monthly,💬,MID,,🛠️,
,FALSE,Apply:, Negative keywords from poor performing close-variants,Monthly,,MID,,,
,FALSE,Optional:, Exact close-variant automated negatives,Automate,💬,LOW,,🛠️,
,FALSE,Review:,Ngram reports,Monthly,💬,MID,,🛠️,
,FALSE,Tool:,"Review query trends over the year, month-by-month, across an entire account",Weekly,💬,HIGH,,🛠️,
,FALSE,Apply:,Query trend or ngram negative keywords,Weekly,💬,HIGH,,,
,FALSE,Verify:,Do keyword research,Quarterly,💬,MID,,,
,,, Auction & Quality Score,,,,,,
,FALSE,💡, 7 is the magic number - improving quality score from 5 to 7 can reduce CPCs by 25%,Ongoing,💬,HIGH,,,🔗
,FALSE,Review:, Primary campaign low quality score keywords,Weekly,,HIGH,,,
,FALSE,Review:, Keywords with below average ad relevance ,Weekly,💬,HIGH,,,🔗
,FALSE,Apply:, Labels to keywords that require revised ad copy,Weekly,,LOW,,,
,FALSE,Apply:," Quality score of 1-3 keywords have been labelled to be fixed, moved or deleted",Weekly,,HIGH,,,
,FALSE,Apply:, Split an ad group if keywords can't realistically be served by the same ads,Weekly,,HIGH,,,
,FALSE,Review:, Secondary campaign low quality score keywords,Bi-weekly,,MID,,,
,FALSE,Optional:, Run a quality score analysis script and review,Weekly,💬,MID,,🛠️,
,FALSE,Optional:, Use DKI as a quick fix to ad relevance (see Advert optimisation below),Monthly,💬,MID,,,
,FALSE,Review:, Impression share and top of page metrics for priority campaigns,Weekly,💬,HIGH,,,
,FALSE,Review:, Auction Insights report - review competitors,Weekly,💬,MID,,,🔗
,FALSE,Review:, Auction Insights - new competitors,Bi-weekly,💬,MID,,,
,FALSE,Check:,Eliminate wasteful ad targeting,Monthly,💬,MID,,,
,FALSE,Review:," If you're in ecommerce, do something about Amazon...",Once,💬,HIGH,,,🔗
,,, Automated Bidding,,,,,,
,FALSE,💡, The bid modifiers that do and don't have an affect on automated/smart bidding strategies,Ongoing,💬,HIGH,📑,,
,FALSE,Review:, Maximise Conversions - control ROAS and CPA with budget,Weekly,💬,HIGH,,,
,FALSE,Review:, Bid management priority campaigns,Weekly,,HIGH,,,
,FALSE,Review:, Bid management secondary campaigns,Bi-weekly,,MID,,,
,FALSE,Optional:, Migrate Away from Max Conversions,Monthly,💬,HIGH,📑,,
,FALSE,Check:, Your Brand campaigns are running the appropriate bid strategy,Monthly,💬,MID,,,
,FALSE,Optional:, Seasonal bid adjustments,Weekly,💬,HIGH,,,
,,, Manual Bidding,,,,,,
,FALSE,Review:, Bid management priority campaigns,Weekly,💬,HIGH,,,
,FALSE,Review:, Bid management secondary campaigns,Bi-weekly,,MID,,,
,FALSE,Review:, Device performance and apply new modifiers,Monthly,,MID,,,
,FALSE,Review:, Remarketing audience bid adjustments,Weekly,,MID,,,
,FALSE,Review:, Demographics modifiers,Monthly,,MID,,,
,FALSE,Check:, Use individual bids for keywords and not the ad group default bids,Bi-weekly,,HIGH,,,
,FALSE,Optional:, Automate manual bidding (running daily) and review,Weekly,,HIGH,,🛠️,
,FALSE,💡, What if you can't afford to bid more?,Ongoing,💬,MID,,,
,,, Ad Testing,,,,,,
,FALSE,💡,"When creating new ads from old ones - copy and edit, don't just edit",Ongoing,💬,HIGH,,,
,FALSE,Apply:, Create custom CPI or RPI columns,Once,💬,HIGH,,,
,FALSE,Check:, Ad rotation settings,Monthly,💬,MID,,,
,FALSE,Review:, Ad testing script results for statistically significant winners,Weekly,,MID,,,🔗
,FALSE,Apply:, Pause losing ads (make sure there's at least 2 ads running per ad group),Weekly,,MID,,,
,FALSE,Tool:, Review automated ad tests to find winners and losers,Weekly,💬,HIGH,,🛠️,
,FALSE,Apply:, Labels for ad pattern tests and review results in bulk across the account,Monthly,,HIGH,,,
