Search terms report
"October 13, 2025 - November 11, 2025"
Search term,Match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost
bolton abbey accommodation,Performance Max,None,8,54,14.81%,GBP,0.66,5.24,0.00,0.00,0.00%,0.00,0.00
aldwark manor estate aldwark alne york yo61 1uf,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
forest lodge uk,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
marriott hotel skipton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country hotels in lancashire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hilton york,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fischer's baslow hall prices,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels henley on thames,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near the fat duck,Performance Max,None,0,7,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
craven arms yorkshire dales,Performance Max,None,0,5,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cotswold lodge,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
sonning hotels,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel with swimming pool harrogate,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire luxury hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury spa breaks yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury accommodation lancashire,Performance Max,None,1,2,50.00%,GBP,1.28,1.28,0.00,0.00,0.00%,0.00,0.00
the manor hotel castle combe,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
billesley manor,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
middlethorpe hotel and spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotel whitby,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
secret escapes uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the swinton estate yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels in warwick,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotel skipton,Performance Max,None,0,10,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
saddleworth hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best weekend getaways near london,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best weekend getaways london,Performance Max,None,1,1,100.00%,GBP,1.19,1.19,0.00,0.00,0.00%,0.00,0.00
the old manse of blair,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near gildings barn,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the dales england,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
saltmore whitby,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotel in harrogate,Performance Max,None,1,14,7.14%,GBP,0.84,0.84,0.00,0.00,0.00%,0.00,0.00
hotel near chatsworth,Performance Max,None,5,27,18.52%,GBP,0.80,3.98,0.00,0.00,0.00%,0.00,0.00
eynsham hall hotel,Performance Max,None,1,3,33.33%,GBP,1.84,1.84,0.00,0.00,0.00%,0.00,0.00
best hikes in the yorkshire dales,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
saltmoor hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
local spa resorts near me,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the fell hotel,Performance Max,None,21,78,26.92%,GBP,0.94,19.84,0.00,0.00,0.00%,0.00,0.00
hare and hounds cotswolds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotel in skipton,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels york uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bolton abbey train afternoon tea,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fellows house cambridge,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
felbridge hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hassness house buttermere,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
lyme park hotels,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa near bolton abbey,Performance Max,None,2,7,28.57%,GBP,0.08,0.15,0.00,0.00,0.00%,0.00,0.00
best hotels in shrewsbury uk,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
king croft,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country hotel breaks hebden bridge,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
haweswater hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the sportsmans arms pateley bridge,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hickstead hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa near harrogate,Performance Max,None,1,2,50.00%,GBP,0.42,0.42,0.00,0.00,0.00%,0.00,0.00
hotels sedbergh,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
langley manor hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotel yorkshire dales,Performance Max,None,3,6,50.00%,GBP,0.35,1.06,0.00,0.00,0.00%,0.00,0.00
strid at bolton abbey yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
new years eve in yorkshire hotels,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
saltmore hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
addingham hotel,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
shangri la united kingdom,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cracoe hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
eden hall day spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire country house hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
skipton yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fischer's baslow,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels west sussex,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel cumbria,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels harrogate,Performance Max,None,0,9,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
burton hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
1 night dinner bed and breakfast offers,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
woodhead heritage,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country hotels near derby,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
everything retreat blackburn,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the windmill hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
small luxury hotels of the world uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels derbyshire peak district,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel bowness on windermere,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
wetherby turnpike hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa breaks,Performance Max,None,1,1,100.00%,GBP,0.29,0.29,0.00,0.00,0.00%,0.00,0.00
grassington lodge,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
boutique hotel cumbria,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
rye hotel uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hatherley manor hotel & spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
izaak walton hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
castlehouse co uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the pig gloucestershire,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
pubs with rooms near skipton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa day,Performance Max,None,0,5,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in skipton town centre with parking,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
estelle manor rooms,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the double red duke hotel cotswolds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
visit yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
abbots grange manor,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
langdale chase hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the peacock at baslow,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the pig brockenhurst,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
guy fawkes inn,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5 star country hotels yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
shipston on stour hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near whitby,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
waddesdon manor,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bolton castle,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
callow hall hotel,Performance Max,None,0,6,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country house hotels northern england,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
satis house hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels whitby,Performance Max,None,1,2,50.00%,GBP,0.30,0.30,0.00,0.00,0.00%,0.00,0.00
harrogate stay,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near harrogate,Performance Max,None,1,16,6.25%,GBP,0.20,0.20,0.00,0.00,0.00%,0.00,0.00
xmas hotel breaks 2025,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
sheffield hotels uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
indigo stratford upon avon,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel stow on the wold cotswolds,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
rutland hall hotel oakham,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
london hotel deals,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
ramside hall,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
basingstoke hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
richmond yorkshire hotels,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
coach house middleton lodge,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels yorkshire,Performance Max,None,1,5,20.00%,GBP,0.60,0.60,0.00,0.00,0.00%,0.00,0.00
hotel bolton abbey,Performance Max,None,2,9,22.22%,GBP,0.53,1.06,0.00,0.00,0.00%,0.00,0.00
newt uk hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the lister arms,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the hide hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hever castle luxury bed and breakfast,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in york,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
rutland hall hotel,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
coniston hotel country estate & spa,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
coniston hotel near skipton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
chatsworth places to stay,Performance Max,None,2,5,40.00%,GBP,0.14,0.28,0.00,0.00,0.00%,0.00,0.00
where to stay in the cotswolds,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in sandsend,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
black swan hotel north yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
burnsall hotel,Performance Max,None,1,44,2.27%,GBP,1.04,1.04,0.00,0.00,0.00%,0.00,0.00
best spa in manchester uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cowley manor cotswolds,Performance Max,None,0,7,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cirencester spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
gastropub with rooms yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
grassington arms,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in reeth north yorkshire,Performance Max,None,1,2,50.00%,GBP,0.80,0.80,0.00,0.00,0.00%,0.00,0.00
spa in newcastle,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel booking uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
york boutique hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels near cambridge,Performance Max,None,2,3,66.67%,GBP,0.88,1.76,0.00,0.00,0.00%,0.00,0.00
the old farmhouse pub and rooms,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
shrewsbury accommodation,Performance Max,None,1,2,50.00%,GBP,0.90,0.90,0.00,0.00,0.00%,0.00,0.00
forest lodge windsor,Performance Max,None,0,6,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
edgerton hotel huddersfield,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
galgorm,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country house hotels near bath,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near chatsworth house england,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
peak edge hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the golden lion settle,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
beautiful places to stay in the cotswolds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
manor house hotel castle combe,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the fell,Performance Max,None,6,32,18.75%,GBP,0.26,1.53,0.00,0.00,0.00%,0.00,0.00
hampsthwaite,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire uk,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotel in yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fischer's baslow hall hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
places to stay near yorkshire sculpture park,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
blacksmith arms broughton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
warner hotel harrogate,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
scotch corner hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in altrincham,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
oakhill hotel matlock,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels swaledale,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels north yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5 star hotel harrogate yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
lygon arms,Performance Max,None,0,7,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
isle of eriska hotel spa & island,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
gleneagles scotland,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
de trafford arms by chef & brewer collection,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
treetop hotels uk,Performance Max,None,1,1,100.00%,GBP,0.63,0.63,0.00,0.00,0.00%,0.00,0.00
country house christmas breaks uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
five arms scotland,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bubnell hall baslow,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bolton estate,Performance Max,None,1,5,20.00%,GBP,0.62,0.62,0.00,0.00,0.00%,0.00,0.00
sun hill lodges,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bakewell accommodation,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
garstang country house hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel hebden bridge,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
manor court boutique retreat,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire dales dog friendly accommodation,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
wetherby hotels near a1,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cow and calf hotel ilkley,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
gilpin hotel,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
lichfield hotels 5 star,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best western yorkshire dales,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in wetherby yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury spas,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels in harrogate uk,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
wild hive callow hall,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel in baslow,Performance Max,None,1,12,8.33%,GBP,0.28,0.28,0.00,0.00,0.00%,0.00,0.00
langdale chase,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
