NDA BUDGET REDUCTION PLAN - RETURN TO AUGUST LEVELS
Date:,"November 3, 2025"
Current (October):,"£39,996.40/month"
Target (August):,"£27,343.74/month"
Required Reduction:,"£12,652.66 (31.6%)"

Campaign Name,Market,YTD Conversions,CPA,Oct Spend,New Budget,Change %,Monthly Saving,Action,Rationale
NDA | EUR | Search | Landscape Design Courses 65,International,0.00,£0,£0.04,£0.00,-100%,£0.04,PAUSE,0 conversions
NDA | UAE | Search | Interior Design Diploma No Target,International,7.50,£958,£2674.57,£802.37,-70%,£1872.20,REDUCE_70,"Very high CPA (£958), major reduction"
NDA | UAE | Search | Interior Design Degree No Target,International,2.00,£1747,£1300.25,£390.07,-70%,£910.18,REDUCE_70,"Extremely high CPA (£1,747), major cut"
NDA | BH/CY/KW | Search | Interior Design Degree No Target,International,1.00,£2109,£784.87,£235.46,-70%,£549.41,REDUCE_70,"Extremely high CPA (£2,109), major cut"
NDA | P Max | Interior Design Diploma - USA/Canada 250,International,3.00,£673,£751.75,£225.53,-70%,£526.22,REDUCE_70,"High CPA (£673), major reduction"
NDA | UK | Search | Curtain Making Courses No Target,UK,1.00,£912,£339.40,£101.82,-70%,£237.58,REDUCE_70,"High CPA (£912), major reduction"
NDA | OM/SA/UAE | Search | Landscape Design No Target,International,1.37,£663,£338.13,£101.44,-70%,£236.69,REDUCE_70,"High CPA (£663), major reduction"
NDA | Pro Curtain Making & Soft Furnishings Fast-Track I 2023,UK,1.16,£782,£337.60,£101.28,-70%,£236.32,REDUCE_70,"High CPA (£782), major reduction"
NDA | UK | Search | Retail Design Degree No Target,UK,1.00,£828,£308.15,£92.44,-70%,£215.71,REDUCE_70,"High CPA (£828), major reduction"
NDA | Search | Interior Design Degree- UK 120 No Target 24/4,UK,11.51,£606,£2595.87,£1297.93,-50%,£1297.94,REDUCE_50,"High CPA (£606), reduce significantly"
NDA | P Max | Interior Design Diploma - UK 100 Remarketing,UK,16.00,£380,£2265.10,£1132.55,-50%,£1132.55,REDUCE_50,"High CPA (£380), reduce to test"
NDA | ROTW | Search | Brand Inclusion No Target,International,8.86,£371,£1223.41,£611.71,-50%,£611.70,REDUCE_50,"High CPA (£371), reduce to test"
NDA | Search | Interior Design Diploma - India Ai Max 19/9,International,5.59,£415,£863.46,£431.73,-50%,£431.73,REDUCE_50,"High CPA (£415), reduce to test"
NDA | Search | Brand - UAE  No Target 7/7,International,2.50,£471,£438.30,£219.15,-50%,£219.15,REDUCE_50,"High CPA (£471), reduce to test"
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,International,2.00,£551,£409.91,£204.96,-50%,£204.95,REDUCE_50,"High CPA (£551), reduce significantly"
NDA | UK | Search | Interior Design Diploma 140 Ai Max 5/8,UK,197.52,£95,£6958.88,£6958.88,0%,£0.00,KEEP,"Excellent CPA (£95), highest converter"
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,International,26.00,£277,£2681.98,£2681.98,0%,£0.00,KEEP,"Reasonable CPA (£277), good volume"
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,UK,145.60,£38,£2062.19,£2062.19,0%,£0.00,KEEP,Best CPA in account (£38)
NDA | OM/SA/BH/KW | Search | Interior Design Diploma No Target,International,16.00,£277,£1650.51,£1650.51,0%,£0.00,KEEP,"Reasonable CPA (£277), MENA presence"
NDA | P Max Reboot | Interior Design Diploma - UAE 175 no target 28/5,International,17.27,£195,£1254.54,£1254.54,0%,£0.00,KEEP,"Good CPA (£195), key UAE market"
NDA | P Max | Interior Design - India 135 29/11 No Target 10/9,International,20.26,£165,£1241.49,£1241.49,0%,£0.00,KEEP,"Good CPA (£165), strong India performance"
NDA | US/CA | Search | Interior Design Degree 250 No Target 15/9,International,16.75,£149,£930.94,£930.94,0%,£0.00,KEEP,"Good CPA (£149), North America growth"
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,International,12.19,£200,£906.01,£906.01,0%,£0.00,KEEP,"Good CPA (£200), global reach"
NDA | UK | Search | Brand 100 New Customer 1/8 No Target,UK,16.78,£138,£860.73,£860.73,0%,£0.00,KEEP,"Good CPA (£138), strong brand campaign"
NDA | Search | Interior Design Diploma - USA/ Canada 250 Split 11/3,International,6.25,£292,£680.48,£680.48,0%,£0.00,KEEP,"Good CPA (£292), North America"
NDA | UK | Search | Landscape Design Diplomas No Target,UK,6.00,£253,£564.81,£564.81,0%,£0.00,KEEP,"Good CPA (£253), niche product"
NDA | Search | Interior Design Degree - Austria/France/Holland/Malta/Germany/Sweden,International,21.00,£65,£508.10,£508.10,0%,£0.00,KEEP,"Excellent CPA (£65), Europe performing well"

SUMMARY

Action,Campaigns,Current Spend,New Spend,Monthly Saving
PAUSE,13,"£5,064.95",£0.00,"£5,064.95"
REDUCE_70,8,"£6,834.72","£2,050.41","£4,784.31"
REDUCE_50,6,"£7,796.05","£3,898.03","£3,898.02"
KEEP,12,"£20,300.66","£20,300.66",£0.00

TOTAL,39,"£39,996.40","£26,249.10","£13,747.28"

Target Gap:,TARGET MET ✓
