"Ad report (November 01, 2025 - November 21, 2025)"
Request Id: 6cbe06cd-bc03-d60b-de1e-2b43920078a7

Status,Ad,Campaign,Ad group,AdStrength,Delivery,Clicks,Impr.,CTR,Avg. CPC,Spend,Conv.,Labels,Top impr. rate,Abs. top impr. rate,AdStrengthActionItems,Text,Display Url,Destination Url,Final Url,Mobile Final Url,App Platform,App Id,Ad type,Tracking Template,Custom Parameter,Final Url Suffix,Text Part 2,Title Part 1,Title Part 2,Title Part 3,Path 1,Path 2,Business Name,Headline,Long Headline,Call To Action,Landscape Image Media Id,Landscape Logo Media Id,Square Image Media Id,Square Logo Media Id,Images,Impression Tracking Urls,Videos,Video Duration,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long Headline 1,Long Headline 2,Long Headline 3,Long Headline 4,Long Headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Headline 1 Position,Headline 2 Position,Headline 3 Position,Headline 4 Position,Headline 5 Position,Headline 6 Position,Headline 7 Position,Headline 8 Position,Headline 9 Position,Headline 10 Position,Headline 11 Position,Headline 12 Position,Headline 13 Position,Headline 14 Position,Headline 15 Position,Description 1 Position,Description 2 Position,Description 3 Position,Description 4 Position
Enabled,,CPL | WBS |  WheatyBags - Company,SKAG - wheatybags amazon,Poor,Eligible,2,6,33.33%,0.32,0.63,1,,100%,0%,AddMoreHeadlines; AddMoreDescriptions; IncludeKeywordsOrKeywordInsertionDescriptions; IncludeKeywordsOrKeywordInsertionHeadlines,,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Pain_Relief,,,,,,,,,[null],,null,,Big Range Of Sizes From £4.50,Huge Range Of Sizes & Shapes,The Wheat Bag Specialists,,,,,,,,,,,,,-,-,-,-,-,From £4.50 - Natural Pain Relief - Microwave For Soothing Comfort - View Now,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,,,-,-,-,-,,,,,,,,,,,,,-,-,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,"SKAG ""heat pads for neck""",Pending,Ad group paused,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/warmers-for/microwavable-heating,,,,ResponsiveSearch,,,,,,,,Heat_Pads,Neck,,,,,,,,,[null],,null,,Heat Pads For Necks,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Wheat Bags In A Range Of Sizes,Next Day Delivery Available,Low Prices & Fast Delivery,"Pure Comfort, Naturally",Safe To Warm In The Microwave,Safely Microwave In Minutes,Low Prices - Fast Delivery,Heatable Wheat Bags,Buy Wheat Bags UK,Buy Online At WheatyBags,Direct From The Manufacturer,Warming Relief For Aches,-,-,-,-,-,"Wheat Bags Warmed in the Microwave Have a Soothing Effect On Your Neck, Buy Yours Now!","WheatyBag Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £5.99 - Look,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Shopping Heroes,CPL | WBS | Shopping Heroes,-,Eligible,0,0,0%,0,0,0,,0%,0%,-,,,,,,,,Product ad,,,,,,,,,,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bag,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Warming_Comfort,,,,,,,,,[null],,null,,The Wheat Bag Specialists,Personalised Wheat Bags,Eco-Friendly Relief,Next Day Delivery Available,Conforms To British Standards,Warm Soothing Comfort,"Pure Comfort, Naturally",Safely Microwave In Minutes,Heatable Wheat Bags,All Natural Wheat Bags UK,Buy Online At WheatyBags,Budget-Friendly Wheat Bags,Microwave. Chill. Smile,Find Your Perfect Wheat Bag,Direct From The Manufacturer,-,-,-,-,-,Discover Our Range Of Affordable Wheat Bags - Value & Comfort At Prices You Won't Believe,"Get Soothing Relief With Our Premium Wheat Bags – Perfect for Aches, Pains & Relaxation","Range Of Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Say Goodbye to Discomfort: Let WheatyBags Bring Warmth and Relaxation into Your Life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bag,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,,,,,,,,,,,[null],,null,,Comfort When You Need It,WheatyBags Since 2010,Britain's Trusted Heat Packs,UK Made In Lancashire,Premium Quality Guaranteed,Recommended By Physios,Family-Run British Business,Find Your Perfect Wheat Bag,Gentle Heat For Pain Relief,Soothe Aching Muscles Fast,Microwave Ready In 90 Secs,Optional Lavender Scent,Triple-Section Design,Your Personal Heat Hero,Try Risk-Free For 30 Days,-,-,-,-,-,"Trusted by care homes, hospitals & physios nationwide. Professional-grade pain relief.",Made in UK with locally sourced wheat. Supporting Lancashire farmers & local communities.,"5-star rated by 10,000+ customers. Real reviews, real relief, real quality craftsmanship.",Triple-section design keeps wheat evenly distributed. Superior heat retention technology.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bags For Dogs,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/warmers-for/pet-warming,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,For_Dogs,,,,,,,,,[null],,null,,Heat Wheat Bags For Dogs,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,"Pure Comfort, Naturally",Low Prices - Fast Delivery,Pet Warming Heat Pack,Heated Wheat Pads For Dogs,WIth Washable Removable Cover,{KeyWord:Heat Wheat Bags For Dogs},Direct From The Manufacturer,,,-,-,-,-,-,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,Wheat Bags Are A Natural Way To Help Relieve Pain In Muscles & Joints - Come & Take A Look,Pet Wheat Bags for Dogs and Cats and Other Pets- -Heated Wheat Pads for Animals,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,
Enabled,,CPL | WBS |  WheatyBags - Company,Search - SKAG - wheatybags co uk || Exact Match,Average,Eligible,2,5,40%,0.44,0.87,0,,100%,100%,IncludeKeywordsOrKeywordInsertionDescriptions; IncludeKeywordsOrKeywordInsertionHeadlines; AddMoreDescriptions; AddMoreHeadlines,,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Pain_Relief,,,,,,,,,[null],,null,,The Wheat Bag Specialists,Huge Range Of Sizes & Shapes,WheatyBags.co.uk,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,Safely Microwave In Minutes,Low Prices - Fast Delivery,,,,,,,,-,-,-,-,-,From £7.99 - Natural Pain Relief - Microwave For Soothing Comfort - View Now,Wheat Bags Are The Natural Way To Relieve Pain In Muscles & Joints - Come & Take A Look!,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Pack,-,Eligible,0,0,0%,0,0,0,,0%,0%,-,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,The Wheat Pack Specialists,Big Choice Of Shapes & Sizes,Microwave For Soothing Relief,Wheat_Bag,Wheat_Pack,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Pack,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,Soothing,Wheat_Packs,,,,,,,,,[null],,null,,Wheat Heat Pack Specialists,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Wheat Bags In A Range Of Sizes,Next Day Delivery Available,Low Prices & Fast Delivery,"Pure Comfort, Naturally",Safe To Warm In The Microwave,Safely Microwave In Minutes,Low Prices - Fast Delivery,Heatable Wheat Bags,Buy Wheat Bags UK,Buy Online At WheatyBags,Direct From The Manufacturer,Microwave For Soothing Relief,-,-,-,-,-,"Wheat Bags Warmed in the Microwave Have a Soothing Effect, Buy Yours Now!","WheatyBag Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £5 - Look,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bags - Unscented,-,Eligible,0,0,0%,0,0,0,,0%,0%,-,Special Offers Now on - Warming Relief for Aches - Selection Of Sizes - Come & Take A Look,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,Unscented Wheat Bags,Huge Range Of Sizes & Colours,From £7.99 With Fast Delivery,Unscented,Wheat_Bags,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bags - Unscented,-,Eligible,0,0,0%,0,0,0,,0%,0%,-,Special Offers Now on - Warming Relief for Aches - Selection Of Sizes - Come & Take A Look,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,Buy Unscented Wheat Bags,Big Choice Of Shapes & Sizes,Huge Range Of Sizes & Colours,Wheat_Bags,Unscented,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bags - Unscented,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,Soothing,Wheat_Bags,,,,,,,,,[null],,null,,Buy Unscented Wheat Bags,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Wheat Bags In A Range Of Sizes,Next Day Delivery Available,Low Prices & Fast Delivery,"Pure Comfort, Naturally",Safe To Warm In The Microwave,Safely Microwave In Minutes,Low Prices - Fast Delivery,Heatable Wheat Bags,Buy Wheat Bags UK,Buy Online At WheatyBags,Direct From The Manufacturer,Huge Range Of Sizes & Colours,-,-,-,-,-,"Wheat Bags Warmed in the Microwave Have a Soothing Effect, Buy Yours Now!","WheatyBag Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £5.99 - Look,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bags For Pets,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/warmers-for/pet-warming,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,For_Pets,,,,,,,,,[null],,null,,Heat Wheat Bags For Pets,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Warming Relief From Pain,Safe To Warm In The Microwave,Natural Relief From Pain,"Pure Comfort, Naturally",Low Prices - Fast Delivery,WIth Washable Removable Cover,Heat Pads For Dogs & Cats,Big Choice Of Fabric & Colour,No Aroma - UK Made,Direct From The Manufacturer,,,-,-,-,-,-,Big Range Of Sies Microwavable Pain Relieving Wheat Bags To Suit Your Pet,Wheat Bags Are A Natural Way To Help Relieve Pain For Your Pet - Come & Take A Look,Wheat Bags Microwave Pet Warming Heat Pack with Free Removable Cover,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Reusable,-,Eligible,0,0,0%,0,0,0,,0%,0%,-,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Are A Natural Way To Help Relieve Pain In Muscles & Joints - Come & Take A Look,The Wheat Bag Specialists,Big Choice Of Shapes & Sizes,Microwave For Soothing Relief,Wheat_Bag,Reusable,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Reusable,-,Eligible,0,0,0%,0,0,0,,0%,0%,-,"For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View & Buy Now!",wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,The Wheat Bag Specialists,Big Choice Of Shapes & Sizes,Microwave For Soothing Relief,Wheat_Bag,Reusable,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Reusable,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,Reusable,Wheat_Bags,,,,,,,,,[null],,null,,Reusable Wheat Bag Specialists,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Wheat Bags In A Range Of Sizes,Next Day Delivery Available,Low Prices & Fast Delivery,"Pure Comfort, Naturally",Safe To Warm In The Microwave,Safely Microwave In Minutes,Low Prices - Fast Delivery,Heatable Wheat Bags,Buy Wheat Bags UK,Buy Online At WheatyBags,Direct From The Manufacturer,Microwave For Soothing Relief,-,-,-,-,-,"Wheat Bags Warmed in the Microwave Have a Soothing Effect, Buy Yours Now!","WheatyBag Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £5.99 - Look,Wheat Bags Can Be A Natural Way To Help Relieve Pain In Muscles & Joints - Take A Look,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Wheat Bags - Natural,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/heat-pad-filling/wheat,,,,ResponsiveSearch,,,,,,,,Wheat_Bags,Natural,,,,,,,,,[null],,null,,Natural Wheat Bags,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Wheat Bags In A Range Of Sizes,Next Day Delivery Available,Low Prices & Fast Delivery,"Pure Comfort, Naturally",Safe To Warm In The Microwave,Safely Microwave In Minutes,Low Prices - Fast Delivery,Heatable Wheat Bags,Buy Wheat Bags UK,Buy Online At WheatyBags,Direct From The Manufacturer,,-,-,-,-,-,"Wheat Bags Warmed in the Microwave Have a Soothing Effect, Buy Yours Now!","WheatyBag Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £5.99 - Look,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Back Pain Heat Pads,Pending,Eligible,0,0,0%,0,0,0,,0%,0%,-,,wheatybags.co.uk,,https://wheatybags.co.uk/warmers-for/back-pain,,,,ResponsiveSearch,,,,,,,,Back_Pain,Relief,,,,,,,,,[null],,null,,Large Heat Pads For Backs,Big Choice Of Shapes & Sizes,Eco-Friendly Relief,Wheat Bags In A Range Of Sizes,Next Day Delivery Available,Low Prices & Fast Delivery,"Pure Comfort, Naturally",Safe To Warm In The Microwave,Safely Microwave In Minutes,Low Prices - Fast Delivery,Heatable Wheat Bags,Buy Wheat Bags UK,Buy Online At WheatyBags,Heat Pads For Back Pain,Direct From The Manufacturer,-,-,-,-,-,"Wheat Bags Warmed in the Microwave Have a Soothing Effect, Buy Yours Now!","WheatyBag Sizes For Back, Shoulders, Neck, Legs, Knees, Hands, Forehead & Eyes - View Now",Microwaveable & Completely Natural UK Wheat Bags - Huge Range Of Sizes From £5.99 - Look,"Our Wheat Heat Pads Give Soothing Relief For Back Pain, Completely Naturally - Come & Look",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11,Search - Microwave Heat Pads,-,Eligible,0,0,0%,0,0,0,,0%,0%,-,Natural Relief From Pain - Microwave For Soothing Comfort - View & Buy Now!,wheatybags.co.uk,,https://wheatybags.co.uk/,,,,ExpandedText,,,,Wheat Bags Are A Natural Way To Help Relieve Pain In Muscles & Joints - Come & Take A Look,Microwaveable Heat Pads,Big Choice Of Shapes & Sizes,Warming Relief For Aches,Microwave,Heat_Pads,,,,,,,,,[null],,null,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,,,,,
