Match Type report by day
"October 12, 2025 - November 10, 2025"
Day,Search terms match type,Clicks,Conversions,Impr.,Conv. value,Conv. value / cost
2025-10-22,Broad match,5,0.00,75,0.00,0.00
2025-10-23,Broad match,5,0.00,55,0.00,0.00
2025-10-25,Phrase match,5,0.00,68,0.00,0.00
2025-10-25,AI Max,5,0.00,84,0.00,0.00
2025-10-26,Phrase match,5,0.00,67,0.00,0.00
2025-10-30,Broad match,5,0.00,52,0.00,0.00
2025-10-31,AI Max,5,0.00,84,0.00,0.00
2025-11-02,Phrase match,5,0.00,80,0.00,0.00
2025-11-04,Phrase match,5,0.00,94,0.00,0.00
2025-11-10,AI Max,5,0.00,100,0.00,0.00
2025-10-14,Broad match,4,0.00,83,0.00,0.00
2025-10-19,Broad match,4,0.00,68,0.00,0.00
2025-10-19,AI Max,4,0.00,106,0.00,0.00
2025-10-28,Phrase match,4,0.00,101,0.00,0.00
2025-10-28,Broad match,4,0.00,58,0.00,0.00
2025-10-30,Phrase match,4,0.00,53,0.00,0.00
2025-10-31,Phrase match,4,0.00,80,0.00,0.00
2025-11-02,Broad match,4,0.00,53,0.00,0.00
2025-11-02,AI Max,4,0.00,95,0.00,0.00
2025-11-03,Broad match,4,0.00,61,0.00,0.00
2025-11-04,AI Max,4,2.12,88,32.60,13.53
2025-11-07,Phrase match,4,0.00,82,0.00,0.00
2025-11-07,AI Max,4,2.00,81,45.51,15.09
2025-11-09,AI Max,4,0.00,119,0.00,0.00
2025-10-12,Broad match,3,0.00,68,0.00,0.00
2025-10-16,Broad match,3,0.00,69,0.00,0.00
2025-10-18,Phrase match,3,2.00,108,23.41,18.58
2025-10-21,AI Max,3,0.00,94,0.00,0.00
2025-10-22,AI Max,3,0.00,99,0.00,0.00
2025-10-26,Broad match,3,1.00,50,12.42,8.93
2025-10-29,AI Max,3,0.00,102,0.00,0.00
2025-10-30,AI Max,3,0.00,90,0.00,0.00
2025-10-31,Broad match,3,0.00,38,0.00,0.00
2025-11-08,Broad match,3,0.00,77,0.00,0.00
2025-10-13,Broad match,2,0.00,67,0.00,0.00
2025-10-15,Broad match,2,0.00,74,0.00,0.00
2025-11-01,Broad match,2,0.00,33,0.00,0.00
2025-11-04,Broad match,2,0.00,59,0.00,0.00
2025-11-07,Broad match,2,0.00,65,0.00,0.00
2025-11-09,Broad match,2,0.00,76,0.00,0.00
2025-10-24,Broad match,1,0.00,53,0.00,0.00
2025-10-24,AI Max,1,0.00,67,0.00,0.00
2025-10-25,Broad match,1,0.00,34,0.00,0.00
2025-10-27,Broad match,1,0.00,42,0.00,0.00
2025-10-29,Broad match,1,0.00,45,0.00,0.00
2025-11-08,AI Max,1,0.00,55,0.00,0.00
2025-10-27,AI Max,0,0.00,70,0.00,0
